dealerCard playerSum reward frequency 
 1 1 0 0.031800
 1 19 0 0.062600
 1 4 0 0.031600
 1 13 0 0.067800
 0 0 -1 0.032300
 1 9 0 0.032700
 1 18 0 0.067100
 1 12 0 0.067500
 1 7 0 0.035300
 1 8 0 0.039300
 1 17 0 0.069200
 1 3 0 0.033600
 1 20 0 0.061600
 1 6 0 0.034500
 1 15 0 0.067400
 1 16 0 0.064100
 1 2 0 0.030200
 1 11 0 0.068100
 1 5 0 0.038400
 1 14 0 0.064900
