dealerCard playerSum action value 
 8 3 0 -0.258675
 10 14 0 -0.062176
 6 8 1 0.198754
 9 4 1 -0.025646
 4 21 0 -0.714286
 8 4 1 0.066159
 4 20 1 0.768116
 5 11 1 0.216232
 7 12 0 0.148148
 4 13 1 0.329710
 5 12 0 0.256490
 9 1 1 -0.026326
 7 10 1 0.166780
 1 20 0 -0.703704
 5 7 0 0.091351
 7 14 0 0.000000
 9 6 0 -0.200938
 3 15 1 0.288136
 6 7 0 0.009045
 8 15 0 -0.280702
 6 6 1 0.197188
 2 6 0 0.128431
 9 8 0 -0.103628
 10 8 1 -0.117764
 6 5 0 -0.032738
 6 11 1 0.173693
 5 21 1 0.912568
 8 3 1 0.063806
 3 6 0 0.079000
 5 13 0 0.184300
 1 14 0 0.058824
 5 1 1 0.237838
 2 16 0 -0.346939
 5 10 1 0.185035
 8 21 0 -0.745455
 8 20 1 0.726061
 5 14 0 0.021739
 9 13 0 -0.042986
 5 15 1 0.244988
 8 13 1 0.016216
 6 20 0 -0.363636
 8 9 0 0.028585
 7 15 0 -0.346154
 9 7 0 -0.158246
 1 17 1 0.380392
 10 16 1 -0.166052
 7 19 1 0.515924
 4 2 0 -0.151575
 9 3 1 -0.028129
 7 8 1 0.164662
 8 11 0 0.168362
 7 9 0 0.045778
 5 20 1 0.734826
 1 5 0 0.119447
 7 13 1 0.161826
 10 3 1 -0.119198
 6 21 0 -0.882353
 8 19 1 0.545281
 8 12 1 0.085533
 10 7 0 -0.234421
 1 15 0 -0.049180
 2 1 1 0.362199
 10 6 1 -0.122367
 10 1 1 -0.122163
 9 14 0 -0.077295
 2 19 0 -0.405405
 7 2 1 0.168643
 1 11 1 0.399351
 1 12 1 0.368421
 10 17 0 -0.489796
 10 5 0 -0.275758
 7 6 0 -0.065153
 8 17 0 -0.257669
 3 5 1 0.312679
 7 7 1 0.171694
 9 15 1 -0.033262
 1 9 1 0.417283
 1 16 1 0.366337
 9 12 0 0.075557
 9 2 1 -0.024394
 8 18 1 0.239624
 2 9 1 0.361044
 4 1 0 -0.122699
 6 2 0 -0.240246
 8 10 0 0.115882
 10 11 0 0.076923
 2 13 0 0.072464
 4 18 0 -0.119048
 9 20 1 0.758382
 1 6 0 0.131098
 6 12 1 0.255474
 1 18 0 -0.100000
 8 6 1 0.074149
 6 1 1 0.194191
 4 3 0 -0.090452
 9 16 0 -0.221649
 9 17 1 -0.025068
 3 2 1 0.317263
 1 4 0 0.077710
 3 3 0 -0.072727
 1 10 1 0.416894
 8 8 1 0.070295
 2 18 0 -0.541667
 3 4 1 0.311244
 10 4 0 -0.303061
 10 2 1 -0.117527
 1 8 1 0.420488
 8 16 0 -0.116883
 10 21 0 -0.846154
 2 17 1 0.306122
 4 7 1 0.275548
 3 21 1 0.942308
 9 10 0 0.047565
 4 10 0 0.221774
 10 2 0 -0.339876
 2 20 1 0.852273
 7 1 0 -0.213483
 0 0 1 0.000000
 7 16 0 -0.509091
 9 18 1 0.137990
 7 5 1 0.161754
 9 9 1 -0.031998
 3 14 1 0.323210
 5 17 1 0.212492
 2 12 0 0.214286
 1 19 0 -0.475000
 3 10 0 0.275142
 5 9 0 0.161585
 9 3 0 -0.265025
 10 9 1 -0.115249
 1 2 0 -0.004040
 2 11 1 0.416537
 6 17 1 0.282443
 2 10 0 0.348912
 4 6 1 0.269558
 10 12 1 -0.084942
 2 14 1 0.325792
 1 1 1 0.413845
 10 15 1 -0.148235
 6 19 0 -0.562500
 3 20 1 0.811881
 3 1 0 -0.115660
 5 4 0 -0.083734
 7 11 0 0.174873
 2 21 1 0.925926
 1 7 1 0.416189
 9 11 0 0.127263
 3 16 0 -0.117647
 1 21 1 0.868421
 10 19 1 0.412500
 4 8 1 0.272800
 2 5 0 0.101101
 2 2 1 0.365274
 7 4 1 0.170697
 6 16 1 0.167702
 5 2 0 -0.087302
 4 11 0 0.236559
 4 5 1 0.271551
 7 21 1 0.916667
 2 3 0 -0.042000
 4 4 0 -0.045872
 7 18 1 0.252252
 9 5 1 -0.026986
 6 4 1 0.195705
 3 11 0 0.383178
