dealerCard playerSum reward frequency 
 1 1 0 0.024000
 1 19 0 0.048000
 1 4 0 0.035000
 1 13 0 0.064000
 0 0 -1 0.032000
 1 9 0 0.035000
 1 18 0 0.066000
 1 12 0 0.072000
 1 7 0 0.029000
 1 8 0 0.028000
 1 17 0 0.065000
 1 3 0 0.044000
 1 20 0 0.061000
 1 6 0 0.035000
 1 15 0 0.063000
 1 16 0 0.063000
 1 2 0 0.035000
 1 11 0 0.091000
 1 5 0 0.038000
 1 14 0 0.072000
